year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC,WAR
2003, 현대, 23, 101, 243, 212, 26, 59, 11, 0, 4, 82, 17, 2, 3, 13, 0, 35, 3, 6, 1, 0.278, 0.350, 0.387, 0.737, 0.333, 96.6, 1.50
2004, 현대, 24, 41, 64, 57, 9, 12, 1, 0, 2, 19, 8, 0, 2, 2, 0, 11, 1, 0, 0, 0.211, 0.297, 0.333, 0.630, 0.298, 71.6, 0.15
2005, 현대, 25, 71, 169, 139, 20, 46, 9, 0, 2, 61, 14, 2, 1, 8, 0, 22, 1, 3, 0, 0.331, 0.440, 0.439, 0.879, 0.406, 149.3, 1.44
2006, 현대, 26, 118, 486, 419, 58, 135, 21, 2, 9, 187, 66, 8, 6, 9, 1, 51, 6, 9, 4, 0.322, 0.396, 0.446, 0.843, 0.385, 147.1, 5.17
2007, 현대, 27, 116, 495, 438, 74, 137, 15, 1, 11, 187, 56, 6, 1, 11, 5, 41, 10, 5, 2, 0.313, 0.382, 0.427, 0.809, 0.372, 129.2, 4.42
2008, 히어로즈, 28, 110, 428, 372, 59, 118, 19, 1, 12, 175, 58, 18, 6, 4, 4, 44, 10, 1, 3, 0.317, 0.398, 0.470, 0.869, 0.400, 143.0, 4.60
2009, 히어로즈, 29, 123, 538, 456, 84, 142, 26, 0, 15, 213, 66, 43, 8, 13, 5, 59, 13, 1, 4, 0.311, 0.408, 0.467, 0.875, 0.394, 129.1, 5.29
2010, LG, 30, 91, 388, 337, 66, 102, 17, 1, 14, 163, 50, 14, 6, 4, 3, 55, 10, 6, 3, 0.303, 0.377, 0.484, 0.861, 0.380, 125.7, 2.36
2011, LG, 31, 85, 368, 317, 44, 94, 17, 0, 4, 123, 29, 10, 6, 3, 1, 45, 9, 5, 3, 0.297, 0.377, 0.388, 0.765, 0.358, 115.6, 1.64
2012, 넥센, 32, 94, 391, 345, 54, 95, 20, 1, 8, 141, 55, 13, 8, 3, 2, 30, 10, 6, 6, 0.275, 0.335, 0.409, 0.744, 0.340, 111.1, 2.55
2013, 넥센, 33, 123, 536, 477, 73, 137, 31, 1, 9, 197, 66, 29, 8, 7, 1, 58, 15, 6, 7, 0.287, 0.345, 0.413, 0.758, 0.349, 104.5, 3.46
2014, 넥센, 34, 122, 527, 441, 87, 135, 32, 1, 21, 232, 91, 11, 8, 13, 0, 43, 10, 12, 10, 0.306, 0.386, 0.526, 0.913, 0.390, 116.5, 3.57
2015, 넥센, 35, 105, 401, 347, 61, 113, 16, 1, 10, 161, 44, 11, 6, 3, 4, 53, 8, 3, 4, 0.326, 0.402, 0.464, 0.866, 0.386, 122.6, 2.46
2016, 넥센, 36, 127, 460, 398, 64, 123, 19, 1, 8, 168, 65, 7, 4, 3, 1, 56, 11, 0, 6, 0.309, 0.389, 0.422, 0.811, 0.374, 107.6, 1.93
2017, 넥센, 37, 100, 269, 241, 27, 67, 15, 1, 3, 93, 29, 0, 0, 1, 1, 58, 9, 1, 1, 0.278, 0.347, 0.386, 0.733, 0.332, 87.7, 0.42
2018, 넥센, 38, 104, 356, 308, 40, 95, 25, 1, 4, 134, 52, 1, 0, 9, 0, 44, 14, 3, 4, 0.308, 0.385, 0.435, 0.820, 0.365, 109.9, 1.30
2020, 키움, 40, 20, 64, 57, 5, 11, 5, 0, 0, 16, 7, 0, 0, 0, 0, 21, 1, 0, 0, 0.193, 0.281, 0.281, 0.562, 0.269, 51.6, 
