,Unnamed: 0,year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC,WAR
0,0,0, 빙그레,25,104,395,347,42,103,14,6,10,159,36,11,11,0,0,55,7,6,1,0.297,0.37,0.458,0.828,0.384,149.7,3.67
1,1,1, 빙그레,26,106,407,369,42,99,13,4,3,129,42,4,15,5,1,56,6,8,1,0.268,0.321,0.35,0.67,0.314,90.5,0.61
2,2,2, 빙그레,27,103,418,377,57,118,26,3,4,162,56,8,6,0,0,50,5,8,5,0.313,0.355,0.43,0.784,0.354,118.3,2.48
3,3,3, 빙그레,28,120,507,464,67,137,24,4,9,196,66,12,10,0,3,73,5,4,4,0.295,0.342,0.422,0.764,0.35600000000000004,118.5,2.96
4,4,4, 빙그레,29,117,496,436,81,146,20,6,16,226,84,12,10,6,2,78,10,3,6,0.335,0.4,0.518,0.918,0.42,159.0,5.39
5,5,5, 빙그레,30,114,437,385,49,102,15,5,11,160,55,7,3,1,7,70,4,7,3,0.265,0.335,0.416,0.7509999999999999,0.336,104.5,2.04
6,6,6, 빙그레,31,121,454,403,73,129,27,8,13,211,60,7,9,1,1,63,6,3,6,0.32,0.379,0.524,0.903,0.399,141.7,3.89
7,7,7, 빙그레,32,108,391,348,31,81,18,0,6,117,33,11,4,1,1,52,4,2,4,0.233,0.303,0.336,0.64,0.302,93.1,1.21
8,8,8, 한화,33,108,352,309,33,86,15,0,4,113,46,8,5,0,3,51,10,4,4,0.278,0.348,0.366,0.713,0.328,106.6,1.47
9,9,9, 한화,34,105,326,290,29,72,20,2,4,108,40,4,0,2,1,47,5,3,2,0.248,0.319,0.3720000000000001,0.691,0.315,101.7,1.35
10,10,10, 한화,35,96,268,229,26,55,10,0,6,83,35,3,2,1,2,54,6,5,2,0.24,0.331,0.362,0.693,0.317,99.6,0.46
11,11,11, 한화,36,15,24,22,3,4,0,0,1,7,3,1,0,0,0,8,0,0,0,0.182,0.25,0.318,0.568,0.262,57.7,-0.01
